,CIDR,BPE,CAR,CAR-T1,CAR-T2,CADR,COB,COD,COF,CRDR,IDR,PPE,BII-RATIO,BTA-RATIO,DTL-RATIO,IITA-RATIO,ICTA-RATIO,INASTI-RATIO,NIMTA-RATIO,NNNA-RATIO,NIITA-RATIO,OPTA-RATIO,PSATA-RATIO,SATA-RATIO,TDTD-RATIO,TLTA-RATIO,WBIC-RATIO,WBTE-RATIO,WBTI-RATIO,ROAD,ROAADJCOF,ROA,ROE,ROIADJCF,ROI,GNPASTA,NNPASTA
IDR,-0.30876340466784297,-0.6287048840954849,0.09188636511140796,-0.26443229177526983,0.26565239549306446,-0.49729339351116486,-0.7160080181148144,0.34593576323644576,0.3138089524901092,-0.8406985920835116,1.0,-0.5427920935179028,-0.18759568001993443,-0.06540412048043516,0.6897746360594555,0.3568646917251976,0.21294601558732,-0.7538830725704022,0.21079919860437207,0.42426589934769604,0.49483923785982054,0.20252294577086677,-0.5647957546015312,0.4056056871281618,0.6913744705265855,-0.42319966599482456,0.7087986352906881,0.1825590934220553,0.18607119468466796,-0.24116409336641964,-0.9466646299631046,-0.12615763152524548,0.41281310106385244,0.5182741775444174,0.4706074945490885,0.36377099556641335,0.3157608099374341
PPE,0.7908769006635848,0.9860840464048234,0.5384289542471189,0.23078513353051502,0.39936117183139885,-0.10251433601743191,0.10060239208041101,-0.6343399072380941,-0.620014579470852,0.8124655412460267,-0.5427920935179028,1.0,-0.6250039161048954,-0.7318242944044138,-0.12147517948420389,-0.7405436981016359,-0.8290184299248605,0.25909113325665106,-0.4667138559511643,-0.8351990091656002,-0.10302777721757063,0.43956707820092633,0.21575527958115984,-0.7626192732688598,-0.5787592010026702,0.7621629723766331,-0.9331401613407073,-0.4612063185047248,-0.7244067578120369,-0.2876891306788493,0.5625708588147266,0.8072700393822876,0.32515587456771505,-0.9045646076325847,-0.8691682355462075,-0.851345119462607,-0.8007482202289852
BII-RATIO,-0.4957492994729551,-0.5167447142862651,-0.7134626039359634,-0.15020676354702792,-0.6274623150230046,0.32282966538947216,0.44915660919388506,0.2669934332989597,0.2782109632168485,-0.15907369531424034,-0.18759568001993443,-0.6250039161048954,1.0,0.9603652739672893,-0.2850729696003302,0.39500040338034154,0.7613747525857716,0.21898223725797009,0.4424000368837375,0.45255090455077357,-0.4423788436614954,-0.6906323069314098,0.30240511597307956,0.32575069081547386,0.045995338276284194,-0.39694464905698457,0.48920948642957707,0.5286974602296126,0.7982215903945624,0.4033165027246349,0.2170338366932322,-0.7767105045205729,-0.6949059955909761,0.5017758745652106,0.43842707162947475,0.5110038301851078,0.489043069654373
BTA-RATIO,-0.7063986368225351,-0.6500612952853402,-0.6393456279369744,-0.05100873149547796,-0.6211668095125223,0.4391674889203774,0.4835573463090003,0.5154827217100435,0.5252911405355416,-0.35970580659704915,-0.06540412048043516,-0.7318242944044138,0.9603652739672893,1.0,-0.31652961418530207,0.6285465495010858,0.8457075314282467,0.21768418590165034,0.36067038011731156,0.6704577447042913,-0.36763594348217304,-0.7850579342057378,0.07352066194735114,0.5490557518137817,0.28051330329891144,-0.6192180049125041,0.5830159332434289,0.4011854681047387,0.7510922970216641,0.5845174021226056,0.10696396292500038,-0.898411048159182,-0.7405614447193039,0.5931905521675349,0.6488635420129862,0.7148299695279734,0.7040855813604328
DTL-RATIO,0.15435277336369668,-0.16438652547408855,0.16813840086982593,-0.33882815964310253,0.40036509356449695,-0.8603267878076659,-0.8922858200811201,-0.2157434690543289,-0.2550406088130514,-0.37163800139562003,0.6897746360594555,-0.12147517948420389,-0.2850729696003302,-0.31652961418530207,1.0,-0.20435794269418675,-0.10479537599674049,-0.9346078661237592,0.3094153767609221,-0.116857352012159,0.40235242306831304,0.5189855075589997,-0.1478313110583797,-0.10746534414466558,0.29447623094975167,0.11189097273787707,0.35673931773511064,0.32623016699941976,0.11177673401612598,-0.6303808144711345,-0.6445013428498638,0.20747210872330127,0.44830162213749747,0.1820883754194576,-0.07805048966553506,-0.16448702475146118,-0.21206049472888736
IITA-RATIO,-0.9636598401428517,-0.7638820801079355,-0.15978518607468192,0.23556795838005537,-0.32958313116353727,0.49860590137521454,0.2790065655240672,0.9784823261680179,0.9774058427733698,-0.7853897514353488,0.3568646917251976,-0.7405436981016359,0.39500040338034154,0.6285465495010858,-0.20435794269418675,1.0,0.6325048168341142,0.08125103879678762,-0.035250716820553876,0.9767032086964894,-0.04992580231492497,-0.6668824850539185,-0.6144776688707415,0.9344129549903383,0.8088961366989446,-0.9670196300480102,0.6452071251632198,-0.15782056669259667,0.24517640090238596,0.7685863668108102,-0.3469647147327132,-0.813247223755641,-0.45268670390348276,0.6042977461307387,0.9551682702149693,0.951729369784173,0.9746530250434118
ICTA-RATIO,-0.7312478825741933,-0.8002504576386348,-0.6151454432559297,-0.12840888136686027,-0.5474456055031279,0.26090484974748535,0.1875824749747959,0.5086387559863171,0.5038001425646466,-0.5583829279176311,0.21294601558732,-0.8290184299248605,0.7613747525857716,0.8457075314282467,-0.10479537599674049,0.6325048168341142,1.0,-0.09806150186237313,0.5554654165136289,0.7204999120522604,0.18525699873219578,-0.4949746273171803,0.02134670259840806,0.6587706108339653,0.3826221960032627,-0.6331758944888202,0.7037532605009446,0.6001268904767351,0.869198256330891,0.41053729548120066,-0.15438736921289156,-0.8395414693971239,-0.6086981669881907,0.7871998793759494,0.732287399904294,0.7819101961386545,0.7405943350309964
INASTI-RATIO,-0.022470578424387974,0.31501268866035215,-0.015306195690650927,0.2675112429202492,-0.19300199158119757,0.7874117446784943,0.8671128927917824,0.12266108632030762,0.16449350307600508,0.48886132671272475,-0.7538830725704022,0.25909113325665106,0.21898223725797009,0.21768418590165034,-0.9346078661237592,0.08125103879678762,-0.09806150186237313,1.0,-0.4655662935876724,-0.014757264778706156,-0.57287265235481,-0.5233321090919827,0.13864010754036074,-0.05744065364422492,-0.3433920151111653,0.006135579013448622,-0.4976616966692096,-0.46603852650444316,-0.27146533901709846,0.5821180757885062,0.7163520639820742,-0.10239729186178179,-0.41318071846878346,-0.3743879148371019,-0.07939710949527179,0.01123216527289327,0.07278226939230774
NIMTA-RATIO,-0.06662869932434426,-0.453682467994574,-0.7264151455385446,-0.20885152243435204,-0.6062884667957671,-0.31438358910683173,-0.22191772848101135,-0.2285327207193864,-0.24090815122226786,-0.17839648268170907,0.21079919860437207,-0.4667138559511643,0.4424000368837375,0.36067038011731156,0.3094153767609221,-0.035250716820553876,0.5554654165136289,-0.4655662935876724,1.0,0.06013647311457556,0.30590863545435204,0.29434309683319393,0.5614472249555635,0.004666567268472345,-0.1565079990234388,0.09732349380755886,0.4516024774109713,0.8878949204349242,0.7453942617515381,-0.4010228026647845,-0.27721291626597466,-0.18595460768491306,-0.05067226439056474,0.6847486233552577,0.18500090052741344,0.1517188291006652,0.06103910804173606
NNNA-RATIO,-0.9841550705499614,-0.856724581105792,-0.2474037374923223,0.059112864614273224,-0.29941731868328914,0.4436792506707307,0.18603995563931308,0.9450056653041831,0.9387902540852907,-0.8424096866220606,0.42426589934769604,-0.8351990091656002,0.45255090455077357,0.6704577447042913,-0.116857352012159,0.9767032086964894,0.7204999120522604,-0.014757264778706156,0.06013647311457556,1.0,0.025540161944937585,-0.6460241867854707,-0.5701493521252295,0.9563337313927063,0.8140523837689188,-0.9740699513794279,0.7328181219365149,-0.014012941448324531,0.3765448796662008,0.6979026977186583,-0.4024411914446147,-0.8479289408091405,-0.4421883743886595,0.7140739637063775,0.9848560590100246,0.9883530260988669,0.9912988620765646
